Truth Cube,,,,,,,,,,,,,,
Uniaxial Compression Test displacment field data for all 4 strains,,,,,,,,,,,,,,
All positions in mm,,,,,,,,,,,,,,
12-Oct-01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
bead nominal location,,,no strain,,,5% strain,,,12.5% strain,,,18.25% strain,,
5,4,7,11.08,3.13,-47.16,11.69,4.38,-42.86,12.45,4.91,-36.86,12.8,5,-31.91
5,5,1,11.91,11.88,12.39,12.21,11.88,12.76,12.45,12.45,13.09,12.8,12.65,13.52
5,5,2,10.8,13.13,3.19,11.13,14.37,3.89,11.69,14.37,5.01,12.1,15.05,5.91
5,5,3,11.69,13.13,-6.87,12.06,14.37,-5.38,12.64,15.63,-3.37,13.36,15.62,-1.68
5,5,4,11.17,13.85,-16.92,11.69,15.13,-14.84,12.46,15.62,-11.72,13.17,16.88,-9.09
5,5,5,10.95,13.13,-26.9,11.34,14.89,-24.08,12.09,15.62,-20.19,12.8,16.88,-16.51
5,5,6,10.6,13.13,-37.26,11.13,14.87,-33.59,12.03,15.62,-28.73,12.43,16.88,-24.31
5,5,7,11.5,13.13,-47.13,12.03,14.82,-42.87,12.84,15.62,-36.95,13.17,16.25,-32.29
5,6,1,11.32,23.12,12.06,11.61,23.65,12.5,11.87,24.37,12.99,12.24,24.81,13.41
5,6,2,11.23,23.13,2.87,11.35,24.37,3.87,12.03,25.63,4.98,12.4,26.88,5.98
5,6,3,10.98,23.12,-6.9,11.35,24.37,-5.41,11.95,25.63,-3.34,12.78,26.88,-1.64
5,6,4,10.57,23.12,-17.07,11.13,25,-14.84,11.69,26.88,-11.69,12.43,28.12,-9.09
5,6,5,10.98,23.12,-26.94,11.5,25,-24.12,12.09,26.88,-20.19,12.8,28.12,-16.51
5,6,6,10.38,23.12,-37.41,10.82,24.88,-33.62,11.51,26.32,-28.69,12,27.43,-24.5
5,6,7,10.58,23.12,-47.31,11.13,25,-43.05,12.06,26.88,-37.29,12.34,27.34,-32.43
5,7,1,10.61,33.56,12.06,10.8,34.38,12.39,10.95,35.63,13.17,11.41,36.5,13.71
5,7,2,10.83,33.13,2.97,10.97,34.38,3.93,11.49,36.38,5.38,11.88,38.12,6.61
5,7,3,10.95,33.13,-6.87,11.26,35.07,-5.19,11.87,36.87,-2.97,12.39,38.92,-0.96
5,7,4,10.6,33.13,-17.22,10.95,35.63,-14.66,11.5,37.5,-11.5,12.06,39.38,-8.72
5,7,5,10.94,33.13,-27.09,11.29,35.63,-23.97,11.95,38.12,-19.96,12.43,39.38,-16.51
5,7,6,10.61,33.13,-37.33,11.13,35,-33.77,11.88,36.87,-28.76,12.27,38.74,-24.51
5,7,7,11.32,33.13,-47.31,11.57,35.63,-43.05,12.49,37.57,-37.12,12.78,38.7,-32.39
6,1,1,23.14,-28.59,12.76,23.56,-29.37,13.17,24.11,-30.18,13.76,24.68,-31.25,14.47
6,1,2,21.52,-26.88,3.64,22.14,-27.43,4.45,23.01,-28.75,5.94,24.12,-30.07,7.16
6,1,3,22.27,-26.88,-6.31,23.01,-27.5,-4.82,24.34,-29.37,-2.44,25.45,-30.62,-0.52
6,1,4,21.71,-26.88,-16.51,22.45,-27.33,-14.29,23.76,-28.88,-10.95,25.05,-30.62,-8.35
6,1,5,21.74,-26.88,-26.56,22.82,-26.88,-23.56,24.31,-28.12,-19.48,25.42,-29.87,-15.95
6,1,6,21.59,-26.88,-36.74,22.49,-26.88,-33.06,23.94,-28.12,-28.02,25.01,-29.37,-23.72
6,1,7,21.52,-26.88,-46.76,22.51,-26.18,-42.31,23.75,-26.88,-36.37,24.31,-28.12,-31.36
6,2,1,23.41,-19.96,12.76,23.75,-20.07,13.1,24.46,-20.63,13.59,25.03,-21.41,14.24
6,2,2,21.12,-17.45,3.48,21.71,-18.12,4.27,22.81,-18.64,5.59,23.65,-19.37,6.78
6,2,3,22.43,-17.31,-6.46,23.18,-17.39,-4.85,24.65,-18.12,-2.75,25.76,-19.37,-0.89
6,2,4,21.37,-16.88,-16.54,22.42,-16.88,-14.32,23.75,-18.12,-11.13,25.05,-19.37,-8.35
6,2,5,21.68,-16.88,-26.57,22.45,-16.88,-23.56,23.94,-17.69,-19.46,25.23,-18.68,-15.84
6,2,6,21.71,-16.88,-36.92,22.46,-16.45,-33.21,23.93,-16.88,-27.83,25.05,-18.12,-23.56
6,2,7,21.68,-16.88,-46.91,22.61,-16.24,-42.32,23.68,-16.88,-36.37,24.31,-16.88,-31.36
6,3,1,23.16,-8.58,12.74,23.61,-8.7,13.01,24.28,-8.93,13.56,24.9,-9.38,13.96
6,3,2,21.56,-6.88,3.48,22.11,-6.88,4.24,23.19,-6.88,5.38,24.34,-7.33,6.53
6,3,3,21.87,-6.23,-6.5,22.64,-5.63,-5.01,23.88,-6.32,-2.95,25.3,-6.88,-1.12
6,3,4,21.08,-6.88,-16.71,21.92,-6.26,-14.49,23.54,-6.88,-11.28,24.7,-6.88,-8.69
6,3,5,21.37,-6.88,-26.56,22.23,-5.63,-23.77,23.75,-6.25,-19.67,25.16,-6.88,-15.96
6,3,6,21.37,-6.88,-36.95,22.45,-5.63,-33.21,23.75,-5.63,-28.02,24.86,-6.25,-23.75
6,3,7,21.34,-6.88,-46.94,22.08,-5.63,-42.49,23.34,-5.63,-36.51,23.98,-5.63,-31.51
6,4,1,22.45,1.88,12.43,22.84,2.33,12.81,23.62,2.43,13.37,24.27,2.39,13.87
6,4,2,21.31,3.13,3.19,21.95,3.81,4.02,22.88,3.82,5.19,23.96,3.92,6.18
6,4,3,21.79,3.13,-6.58,22.63,3.68,-5.32,24.12,3.82,-3.09,25.36,3.92,-1.32
6,4,4,21.34,3.13,-16.88,22.08,4.38,-14.66,23.6,4.38,-11.35,25.05,4.38,-8.72
6,4,5,21.52,3.13,-26.91,22.45,4.38,-23.94,23.85,4.96,-19.74,25.21,5.01,-16.31
6,4,6,21.15,3.13,-37.11,22.05,4.38,-33.55,23.38,4.93,-28.32,24.46,5.05,-23.98
6,4,7,21.34,3.13,-46.94,22.07,4.38,-42.68,23.25,5.07,-36.75,23.94,5.63,-31.73
6,5,1,22.09,12.48,12.27,22.45,12.68,12.77,23.19,13.13,13.17,23.79,13.13,13.69
6,5,2,21.31,13.13,3.19,21.71,14.37,3.9,22.82,14.87,5.2,23.94,15.62,6.12
6,5,3,22.27,13.13,-6.87,23.19,14.37,-5.38,24.48,15.13,-3.15,25.79,15.62,-1.3
6,5,4,20.97,13.13,-16.88,21.71,14.37,-14.66,23.17,15.62,-11.65,24.33,15.62,-9.06
6,5,5,21.35,13.59,-26.91,22.12,15.18,-23.96,23.74,16.12,-19.86,24.86,16.88,-16.4
6,5,6,21.36,13.13,-37.26,22.39,14.83,-33.56,23.75,15.62,-28.39,24.69,16.36,-24.15
6,5,7,21.52,13.13,-47.13,22.41,14.83,-42.82,23.56,15.62,-36.92,24.33,16.1,-32.13
6,6,1,22.21,23.12,12.28,22.64,23.82,12.5,23.34,24.37,13.13,23.93,25,13.73
6,6,2,20.94,23.93,3.11,21.55,24.89,3.9,22.45,25.63,5.2,23.56,26.88,6.49
6,6,3,21.71,23.12,-6.87,22.45,24.37,-5.38,23.72,26.19,-3.11,24.89,27.49,-1.13
6,6,4,20.63,23.12,-16.92,21.37,24.81,-14.68,22.81,26.36,-11.53,23.93,27.63,-8.9
6,6,5,21.15,23.75,-27.09,21.89,25.63,-23.94,23.38,26.88,-19.86,24.49,28.12,-16.52
6,6,6,21.34,23.12,-37.29,22.29,25.11,-33.59,23.68,26.88,-28.58,24.68,28.12,-24.31
6,6,7,21.12,23.12,-47.27,22.08,25.63,-42.86,23.37,26.88,-37.04,23.99,27.43,-32.28
6,7,1,21.71,33.95,12.05,22.1,34.92,12.56,22.64,36.03,13.33,23.19,36.87,13.92
6,7,2,20.78,33.53,2.99,21.39,34.93,4.09,22.11,36.87,5.72,23.19,38.12,6.87
6,7,3,21.71,33.13,-6.87,22.45,35.63,-5.01,23.59,36.87,-2.75,24.68,39.38,-0.56
6,7,4,20.56,33.13,-17.04,21.17,35.01,-14.49,22.45,36.87,-11.32,23.56,39.38,-8.53
6,7,5,21.33,33.62,-27.1,22.08,35.63,-23.94,23.29,38.12,-19.77,24.34,39.38,-16.17
6,7,6,20.97,33.13,-37.29,21.71,35.63,-33.58,23.04,37.52,-28.54,23.94,39.38,-24.31
6,7,7,20.97,33.13,-47.31,21.74,35.63,-42.89,23.01,37.5,-37.11,23.76,38.69,-32.24
7,1,1,32.47,-28.12,12.8,33.06,-28.51,13.3,33.96,-29.37,14.1,35.01,-30.63,14.88
7,1,2,31.77,-26.88,3.75,32.81,-26.88,4.67,34.21,-28.12,6.31,35.63,-29.37,7.78
7,1,3,32.22,-26.88,-6.32,33.42,-27.55,-4.6,35.24,-28.88,-2.04,36.92,-30.62,0.19
7,1,4,31.73,-26.88,-16.51,32.84,-26.88,-14.1,34.88,-28.75,-10.76,36.55,-30.62,-7.98
7,1,5,32.29,-26.88,-26.54,33.58,-26.88,-23.56,35.48,-28.12,-19.26,37.29,-29.37,-15.77
7,1,6,31.7,-26.88,-36.89,33.17,-26.88,-32.88,34.95,-28.12,-27.83,36.44,-29.37,-23.75
7,1,7,31.61,-26.88,-46.76,33.03,-26.25,-42.3,34.7,-26.88,-36.18,35.81,-28.12,-31.36
7,2,1,32.69,-19,12.77,33.43,-19.37,13.21,34.48,-19.76,13.89,35.54,-20.33,14.5
7,2,2,31.36,-16.88,3.71,32.47,-16.88,4.64,33.99,-17.68,6.11,35.47,-18.12,7.27
7,2,3,32.59,-16.88,-6.32,33.76,-16.88,-4.75,35.62,-17.5,-2.23,37.48,-18.62,-0.19
7,2,4,31.36,-16.88,-16.51,32.68,-16.88,-14.18,34.67,-18.12,-10.91,36.37,-18.82,-8.05
7,2,5,32.1,-16.88,-26.53,33.4,-16.32,-23.5,35.47,-16.88,-19.14,37.29,-18.12,-15.77
7,2,6,31.73,-16.88,-36.92,33.03,-16.25,-33.03,34.88,-16.88,-27.83,36.54,-17.69,-23.57
7,2,7,31.54,-16.88,-46.83,32.76,-16.13,-42.39,34.33,-16.45,-36.19,35.41,-16.88,-31.39
7,3,1,32.46,-7.7,12.8,33.17,-8.13,13.02,34.14,-8.13,13.92,35.32,-8.13,14.47
7,3,2,31.73,-6.88,3.53,32.81,-6.88,4.61,34.37,-6.88,5.97,36.18,-6.88,7.24
7,3,3,32.28,-6.32,-6.43,33.58,-6.12,-4.84,35.59,-6.37,-2.43,37.41,-6.88,-0.38
7,3,4,31.73,-6.88,-16.51,33.03,-6.18,-14.22,35.07,-6.88,-10.95,37.04,-6.88,-8.17
7,3,5,31.67,-6.32,-26.72,32.99,-5.63,-23.52,35.11,-5.63,-19.33,36.92,-6.25,-15.96
7,3,6,31.54,-6.88,-36.92,32.81,-5.63,-33.18,34.69,-5.63,-27.83,36.47,-6.37,-23.66
7,3,7,31.36,-6.88,-46.94,32.69,-5.63,-42.45,34.33,-5.63,-36.37,35.41,-5.63,-31.39
7,4,1,32.88,3.13,12.65,33.62,3.13,13.02,34.7,3.13,13.73,35.96,3.13,14.25
7,4,2,31.32,3.57,3.49,32.44,3.92,4.31,33.96,4.38,5.75,35.47,4.38,6.9
7,4,3,32.1,3.13,-6.49,33.21,4.38,-5.01,35.4,4.38,-2.63,37.29,4.38,-0.56
7,4,4,31.33,3.13,-16.85,32.5,4.38,-14.32,34.58,4.38,-11.13,36.52,4.38,-8.38
7,4,5,31.34,3.94,-26.87,32.66,5,-23.75,34.7,5.63,-19.48,36.55,5.63,-16.14
7,4,6,31.69,3.13,-37.07,32.84,4.38,-33.21,34.84,4.93,-28.11,36.5,5.09,-23.95
7,4,7,30.99,3.13,-46.94,32.44,4.38,-42.52,33.98,5.19,-36.59,35.07,5.19,-31.76
7,5,1,32.35,12.74,12.59,33.03,13.13,12.92,34.21,13.13,13.6,35.25,13.66,14.28
7,5,2,31.17,13.13,3.34,32.29,13.82,4.34,33.92,14.37,5.72,35.28,14.89,6.87
7,5,3,32.13,14.37,-6.53,33.21,15.62,-5.01,35.25,15.62,-2.79,37.11,16.88,-0.74
7,5,4,30.99,13.13,-16.88,32.36,14.37,-14.47,34.33,15.62,-11.32,36.02,16.24,-8.55
7,5,5,31.7,13.65,-26.83,32.84,15.13,-23.75,34.88,16.25,-19.67,36.74,16.88,-16.14
7,5,6,31.36,13.13,-37.11,32.47,14.37,-33.21,34.44,15.62,-28.21,36.03,16.27,-24.09
7,5,7,31.24,13.13,-47.13,32.47,15.13,-42.68,34.23,16.01,-36.76,35.12,16.42,-32.07
7,6,1,31.88,23.12,12.47,32.74,23.86,12.79,33.54,24.37,13.39,34.61,24.81,14.06
7,6,2,30.96,23.12,3.19,31.98,24.37,4.08,33.21,25.63,5.75,34.72,26.88,6.9
7,6,3,31.91,23.62,-6.87,33.15,24.91,-5,34.88,26.25,-2.6,36.63,27.38,-0.59
7,6,4,31.36,23.12,-16.88,32.48,25.11,-14.5,34.44,26.88,-11.14,36.18,28.12,-8.35
7,6,5,31.32,23.57,-26.94,32.44,25.63,-23.9,34.33,26.88,-19.48,35.96,28.12,-16.18
7,6,6,31.36,23.12,-37.29,32.45,25.17,-33.53,34.33,26.88,-28.39,35.77,27.68,-24.28
7,6,7,31.34,22.66,-47.26,32.47,24.37,-42.86,34.27,26.08,-36.9,35.44,26.88,-32.1
7,7,1,32.1,34.38,12.25,32.84,35.2,12.79,33.65,36.35,13.62,34.6,37.29,14.44
7,7,2,30.8,33.13,3.15,31.73,34.38,4.27,33.03,36.32,6.05,34.33,37.63,7.43
7,7,3,31.73,34.38,-6.87,32.84,35.63,-5.01,34.36,37.68,-2.1,36,39.38,0
7,7,4,30.58,33.13,-16.92,31.73,35.63,-14.29,33.36,37.44,-10.9,34.88,39.38,-8.16
7,7,5,31.24,33.61,-27.17,32.29,35.63,-23.75,33.96,38.12,-19.48,35.47,39.38,-16.11
7,7,6,31.21,33.13,-37.34,32.29,35.63,-33.4,34.14,37.43,-28.32,35.41,38.83,-24.18
7,7,7,31.14,33.13,-47.36,32.36,35.63,-42.68,33.99,37.31,-36.95,35.1,38.12,-32.13
